platform,press,keyword,comment,tokens,score
news,기타,김문수,인상은 과학이다 ㅋ,"['인상', '과학']",0
news,기타,김문수,관상만 보면 답 나오지 안그러냐 순대야,"['관상', '답', '나오', '그러', '순대']",0
news,기타,김문수,김순대 니가 가만히 있는 훌륭한너의 피셜 배우자를 니가 앞으로 내세워서 이렇게 된거아님?? 뒷통수 사기당선으로 당선후 왜 가만히 있는 배우자를 그렇게 벌써부터 앞세워선?? 그건 니가 자초한거야~~~이제와서 혼자서 북치고 장구치고 하지마라,"['김', '순대', '있', '피셔', '배우자', '앞', '내세우', '이렇', '뒷', '통수', '사기', '당선', '당선', '후', '배우자', '그렇', '앞세우', '자초', '오', '혼자', '북', '치', '장구', '치']",0
news,기타,김문수,"설난영이 제정신이 아닌거 사실이지.어쩜 부부가 저리 똑같냐?하나가 잘못됐으면 그걸 말려야지,둘이 똑같이 나대는 꼴이라니..ㅉㅉ.한심한 부부 추가!","['나', '영', '제정신', '사실', '부부', '똑같', '말리', '나', '꼴', '부부', '추가']",0
news,기타,김문수,문수야!너희 부부는 부창부수 맞다. ...사이비종교에도 동반해서 들어간겨.. . .너희들은 노동. 민주화운동 했다고 떠벌리고 다니지 마라.. 챙피하다 이놈아. ..,"['문수', '부부', '부', '창', '부수', '맞', '사이비', '종교', '동반', '들어가', '노동', '민주', '운동', '떠벌리', '다니', '챙피']",0
news,기타,김문수,어휴~ 제발 안봤으면. 김건희는 성형으로 도배했지만 예쁘기라도 했지. ㅡㅡ,"['김건', '희', '성형', '도배', '예쁘']",0
news,기타,김문수,김혜경보다 김건희가 더 정직하다고 하는데 설씨 입 좀 막아야될 듯,"['김혜경', '김건희', '정직', '설', '입', '막']",0
news,기타,김문수,훌륭한 사람이 얼굴 가지고 노조 비난하냐???,"['얼굴', '가지', '노조', '비난']",-2
news,기타,김문수,훌륭한 사람이 노조여성 갈라치기합니까?? 애초에 설난영여사가 노조여성 비하하고 김혜경여사 비아냥 거린게 화근이죠!!!,"['노조', '여성', '가르', '치', '애초', '서', '영', '여사', '노조', '여성', '비하', '김혜경', '여사', '거리', '화근']",0
news,기타,김문수,유시민은 빨리 사과하고 마무리하시길… 이 싯점에 논란을 카울 필요는 없다,"['유시민', '사과', '마무리', '싯점', '논란', '울', '필요']",0
news,기타,김문수,과거에 남편 구명운동까지 했는데 안부전화를 사무적으로 응대한게 제정신이냐?,"['과거', '남편', '구명', '운동', '안부', '전화', '사무', '응대', '제정신']",0
news,기타,김문수,설씨 자기가 노조하게 생겼나,"['설', '노조', '생기']",0
news,기타,김문수,김문수 아내는 훌륭한 아내가 아니다.남편이 이상하고 괴상한 정신으로 사회 생활을 하는데 그걸 그저 옳다고 내조 하는거 보면 둘다 제정신이 아닌거다!,"['김문수', '아내', '아내', '남편', '이상', '괴상', '정신', '사회', '생활', '옳', '내조', '제정신']",0
news,기타,김문수,훌륭한사람이 노조평하발언을하나? 자기객관화도안되는게 자기가이쁘다는거짓말도하잖아 거기서부터 건희스러케보이더라,"['노조', '평', '하', '발언', '객관', '이쁘', '거짓말', '건희스러', '보이']",-2
