platform,press,keyword,comment
news,연합뉴스,이재명,세번의 변절을 통해 출세를 지향하는 인간 김문수. 거짓말 밥먹듯하고 숨쉬듯하는 전광훈을 추앙하는 김문수. 윤석렬이 아바타. 거짓말은 김문수 가장잘하지. 한덕수 단일화할거라 장담하고 되고나서는 그런적없는것처럼. 진짜 입만열면 거짓말.
news,연합뉴스,이재명,전광훈 눈물 찔찔
news,연합뉴스,이재명,/////////////// 진짜 전세계적으로 그런 악마중의 악마는 없을 것이다 //////////////
news,연합뉴스,이재명,대통령되면 전광훈 한테 나라 줄라고?
news,연합뉴스,이재명,그렇게 청렴하고 깨끗한양반이 저 사악한 종교집단 교주는 왜??? 정치자금을 자기부하들은 알고 당사자가 몰랐다?? 그냥 꽉막힌 고집불통 할배같어 행동이...정치 경제분야 공약 얘기하라니까 그냥 이재명 이재명 .... 윤석열은 다잘했고 참 답답하다 내란 추종자들
news,연합뉴스,이재명,사기꾼 정치인은 북한으로 추방해서 영원히 한국과 격리시켜야
news,연합뉴스,이재명,"거울이나 쳐다보라, 저리도 수준이 저급한데 여기까지 어찌 왔누"
news,연합뉴스,이재명,"김문수씨 당신은 인생 자체가 거짓말, 스스로 자기자신도 속이며 손바닥 뒤집뒷이. 양심도 상식도 없이. 권력있는 곳에 가서 성공은 하셨수. 그런 실력으로 대통후보 까지 되니 당신이나 당신 부인이나...ㅉㅉ 전광훈 찐친 머리에 도대체 뭐가 들었는지?"
news,연합뉴스,이재명,Nothing but only blame Lee?
news,연합뉴스,이재명,돌문수 거짓말밥먹득 정치권서영원히추방해야 아그리고돌문수유세차돌차도같이 추방
news,연합뉴스,이재명,전광훈이랑 윤바지-김쥴리가 국짐당 접수한다고 꽂아넣은 트로이목마 같은 김문수~ 빤스목사랑 쥴리는 애초에 대선이 목적이 아니었다.
news,연합뉴스,이재명,"문수할배요,,,게임 끝났구마......마 내려오소 ~"
news,연합뉴스,이재명,숨쉬는것 빼곤 모두가 거짓인 이재명은 교도소로 하루빨리 입소시켜야한다. 정치계에 재앙이다.
news,연합뉴스,이재명,"학벌은 아무 상관 없음. 윤석열만 봐도 엄청 무식하지. 법기술 법희롱, 헌법 유린 농단은 전국 탑클레스였지만. 차라리 독서 유투버들 보면 다양한 책을 정독 많이 한 부분에서 어느정도 지혜가 좀 있지. 근데 기본 학술은 배우고 이야길 하잖아. 학벌은 필요없는데 기본 학력과 정확하게 책을 정독하면서 명작들 많이 본 사람은 확실히 말과 생각하는 거 차이가 남. 다독도 정독을 못하고 지 멋대로 생각해서 헛소리하는 언어능력 낮은 사람들은 책을 읽어도 문제. 윤석열 지 편한대로 생각. 여명작을 정확히 정독후 연구 단계까지 간 사람은 지혜가있지"
news,연합뉴스,이재명,내란당놈들 뭐라 찌꺼리는거야?
news,연합뉴스,이재명,"문수야. 관등성명을 대라 !!...니가 119 전화해서, 뜬금없이 조지던 생각 안나나..."
news,연합뉴스,이재명,전광훈목사와 자문순하고의 자문순의 관계부터 밝히시고 본인 경기도지사시절 와이프와 함께 법카내역좀 까봅시다 소방헬기 탑승목록도 좀 밝히시고~이참에 국적도 일본으로 바꾸시고~
news,연합뉴스,이재명,거짓말은 본인이하면서 계속나불거리는 할배
news,연합뉴스,이재명,닌 갑질만할꺼가?
news,연합뉴스,이재명,자기소개?ㅋ
news,연합뉴스,이재명,이재명이재명 그놈의 이재명 하지말고 본인 어필이나좀해 .어차피 안되겟지만
news,연합뉴스,이재명,댓글들 보니 꼭 투표해야겠습니다. 투표합시다.
news,연합뉴스,이재명,눈만 뜨면 이재명 이재명ㅋㅋㅋㅋ 그것도 뜬구름 잡는식으로 네거티브하고 에휴 2찍이들아 정신차려 ㅋㅋㅋ 이런거 보고도 2찍 하고싶냐?ㅋㅋ
news,연합뉴스,이재명,문수어르신께서는 뒷방에서 푹 쉬셔요 드라마 보시면 눈물짜면서~
news,연합뉴스,이재명,맞습니다.
news,연합뉴스,이재명,경기도지삽니다 문수야? 갑질 문수?윤석열 아바타? 입닥하지?ㅋ 지가 하는 말도 옆에서 한동훈이가 질문해도 못 알아듣는 니가 대통? 개가 웃겠다.
news,연합뉴스,이재명,김문수 전광훈 목사 관련 영상 잘 보고 판단하시길
news,연합뉴스,이재명,전광훈목사를 버릴 수 있을까요
news,연합뉴스,이재명,밥먹듯 거짓말하는건 너지 전광훈이 한테 붙었다 윤석열이 한테 붙었다 단일화 한다고 속여서 후보되고 뻔뻔한 ㄴᆢㅁ
news,연합뉴스,이재명,"일 잘하는 유능한 대통령, 정이 넘치는 사람같은 대통령, 서민과 노동자들의 고충을 누구보다 잘알고 그것을 잘 해결해주는 대통령 바로 김문수대통령입니다 김문수 화이팅!!!"
news,연합뉴스,이재명,다시는 내란ㆍ수구세력이 발붙이지 못하게 이번 선거에서 철퇴를 내려야 햐다.
news,연합뉴스,이재명,아니 밥먹듯이 거지말하다고요 입은 삐뚤어져도 말은 바로하라고 했는데 찢재명은 입만 열면 거짓말이 술술술이라고 소문이 자자하던데요
news,연합뉴스,이재명,대선을 끝으로 영원히.안녕 문수야
news,연합뉴스,이재명,거짓 조작은 국힘 전문이지 거기다 계엄 극우부정선거까지
news,연합뉴스,이재명,지적 수준이 설난영 정도만 되도 절대 김문수 같은 후보 안 찍습니다. 후보란 자가 허구헌 날 다른 후보 비방하는 것으로 유세를 하고 있으니 대체 어느 정도 지성이면 저런 후보를 대통령감이라 생각할까요. 국민들의 수준을 다 극우 태극기 부대로 생각하면 곤란합니다.
