platform,press,keyword,comment
news,동아일보,이재명,이재명의 최고 치적은 민주당을 3년만에 일극독재당으로 완전 탈바꿈시킨 거 빼놓으면 안되죠?
news,동아일보,이재명,"거북섬도 그렇고 금싸레기 땅 원주민에게 강제 매입하여 몇배로 튀기고, 종상항시켜 측근 이익만들어주고 남은돈이 치적이라고 일잘한다고 아직도 우기고 믿는 이들은 사이비신도임?"
news,동아일보,이재명,거북섬 가보세요. 유령도시 입니다. 거기 투자하고 임대받은 사람들 대부분 쪽박찼습니다. 그걸 치적이라고? 지나가는 개가 웃습니다.
news,동아일보,이재명,공실률 높은거랑 개발완성한거랑 별개아니니? 개발완료하였으면 이후 손님 유치는 해당 상권문제 아니니?
news,동아일보,이재명,"뱉는 말마다 어째 저모양 저 꼬라지일까? 공갈 빵 보는것 같고, 구라쟁이 허풍쟁이로만 보여.....입 닫고 가만히 서 있는게 도움될것 같네..."
news,동아일보,이재명,대장동 이재명 치적이랬다 김만배일당에게 4000억원 안겨주고 문제되자 자신과는 무관하고 유동규가 한일 이라고
news,동아일보,이재명,거북섬이 업적이란 말은 대장동이 업적이라는 말과 같다. 아무튼 기업 유치해서 공사했으니 업적이라는 거다. 수혜자는 건설이익 먹튀한 놈들과 업적팔이한 지자체장이고. 정작 지역 주민들은 치를 떤다. 이재명이 왜 성남에서 계양으로 도망갔을까? 유능은 개뿔 가는 곳마다 쑥대밭으로 만드는 인간이다.
news,동아일보,이재명,마이너스의 손.. 별짓을 다 해도 지지자가 있는게 신기할 뿐
news,동아일보,이재명,거북섬은 자신의 업적이 맞대요 2년만에 후딱 해치운 이유도 궁금하다
news,동아일보,이재명,개딸과 대화했는데 눈귀 처닫고 무조건 빠는거보고 놀라움을 금치 못했다 아나 일만 잘하면 된다나? 헐 무슨일? 성남을 잘 키워놨다고한다 헉
news,동아일보,이재명,내가 이런말을 할줄은 몰랐네 역사관 얘기보다 중요한건 미래의 우리에요 ... 독재하겠다는 놈 좀 막고 그때이후에 흠씬 두드려 팹시다 제발... 정신차려요 전 너무 무섭습니다
news,동아일보,이재명,거북섬 완전 망했는데
news,한겨레,이재명,고발은 왜 하냐 선거법에 적용 안할거면서
news,한겨레,이재명,충격 펨코보고 정치하는 정치인이있다? ㅋㅋㅋㅋ
news,한겨레,이재명,나이 40 처먹고 커뮤발 잘못된 지식 얻고 그러는 거... 안 쪽팔려?
news,한겨레,이재명,펨코에 올라온 잘못된 정보 가지고 페북에 글 싸질렀다가 펨코에서 준석이형 그거 아니야 하니까 후다닥 수정하는 꼴 봐라하여튼 수준하고는 ㅠㅠ
news,한겨레,이재명,민주당 지지자들은 잘못한 건 잘못했다고 인정 좀 해라 니들이 국힘지지자와 뭐가 다름?
news,한겨레,이재명,이미 영상으로 거븩섬 자기 자랑이라며 사람들 앞에서 떠드는영상 나오는데 뭐가 허위고 거짓이야!!!!! 어이가 없다!!!!
news,한겨레,이재명,맞어? 압도적 비호감 1위가 맞냐구?
news,한겨레,이재명,민주당과 이재명은 고소고발 안 하면 죽는 병 걸렸나......?????
news,한겨레,이재명,거북섬 청사진 믿고 투자한 세모녀 자살 사건 뉴스에 대대적으로 보도되었을때 가슴 아팠어요..
news,한겨레,이재명,그러면 파도모형 들고오지 왜 거북이 등껍질 들고나왔나 사람이 헷갈릴만하게 해놓고 고발?
news,한겨레,이재명,처음에 김문수후보는 별볼일없는 그런사람인줄알았는데 광교신도시 판교신도시 동탄신도시 평택삼성반도체 이천하이닉스유치 하남스타필드 파주LCD 등등 초대배 브랜드사업을 김문수가 했다는걸 접하고 진짜 완전놀랐다 그중 가장 놀란건 GTX를 만들었다니 진짜이걸 다한거맞나
news,한겨레,이재명,준석이사전조사없이유언비어중
news,한겨레,이재명,저기 투자한 사람들 곡소리 나던데 안타깝다
news,한겨레,이재명,비호감1위 🐕 장수 갈라치기 혐오정혐오 비아냥 정책은없고 존재감높혀서 단일화하려고 온갖폄해와 거짓말로덥어씌워 상대방비난만한다. 개장수는 정책이뭐냐고?
news,한겨레,이재명,본인이 스스로 말한것도 허위사실이라고 하는데 언제 진실을 말한적이 있는가요
news,한겨레,이재명,공실 유령도시를 무슨 생각으로 자랑한거야?
news,한겨레,이재명,이재명이 한 일 = 거북섬 웨이브파크 유치임 거북섬 사업자체가 아님. 이준석이 잘못 말한거 맞쥬?
news,한겨레,이재명,자신이 거북섬 자랑 해놓고 왜 남탓을 하지?불리하면 고소고발 하네
news,한겨레,이재명,펨토인디 펨코인지 일베사이트 보고 정치하는 이준석은 제발 이 나라를 위해 정치그만두고 떠나라
news,한겨레,이재명,거북섬 무서워요
news,한겨레,이재명,"이재명이 치적이라고 자랑하는 것 중에, 스스로 원만하게 시스템적으로 작동하는 것 없음. 다 일시적. 비용만 나간것임."
news,한겨레,이재명,공직선거법 없앤다며 무슨 개소리 하냐
news,한겨레,이재명,이번 선거는 진짜 와 가짜의 싸움 ㅜㅜㅜㅜ
news,한겨레,이재명,어제 시흥 가서 거북이 들고 거북섬 자랑하던 영상은 뭐지.. 뭘까?
news,한겨레,이재명,죄명이 현장서 자기가 유치했다고 자랑하더만 뭔 허위사실이야..구라치네
news,한겨레,이재명,본인 입으로 자랑해놓고 허위사실 유포로 고발이래 ㅋㅋㅋㅋ 앞뒤가 안맞잖아
news,한겨레,이재명,내란굥범들은 짐승이다 허위사실 유포시 모두 고소해야 한다 어차피 조xx 희대의 대법원장이 봐주니까 설치는거다 검사출신 권성동 특활비 도둑 떡검사들이 강원랜드 청탁의혹 봐주니까 설치는거 보세요
news,한겨레,이재명,자기가 똥싸고 자기가 고발하고
news,한겨레,이재명,자랑한 본인 입부터 고발합시다요
news,한겨레,이재명,팩폭하니깐 긁혔네
news,한겨레,이재명,잘못했으면 시인을 해야지 불리하면 고소 표 떨어지는 소리가
news,한겨레,이재명,이준석이가 잘못한게 뭡니까
news,한겨레,이재명,김문수내란세력이정권잡으면 또내란일으킨다이준석이는아직도정치초짜다 안정고ㅏ 번영을워해선이재명이답이다
news,한겨레,이재명,단군이래최대치적대장동. 이것도니가헌것아니제윤석열이햇재
